IE_XML_ID;IE_NAME;IP_PROP19;IP_PROP20;IP_PROP34
84;Фильтр для АВД;;140;MO-202
87;Karcher K 2 мойка высокого давления;;0;1.673-220.0
88;Karcher K 2 Basic мойка высокого давления ;;6 000;1.673-159.0
94;Karcher К 3 мойка высокого давления;;0;1.601-812.0
95;Салфетка из искусственной замши;;0;
96;Karcher К 4 Full Control мойка высокого давления;;0;1.324-000.0
97;Шланг высокого давления для прочистки канализации (10 метров) с пластиковым наконечником типа Керхер;;0;
98;Karcher К 4 Compact мойка высокого давления;;0;1.637-310.0
99;Мойка высокого давления Karcher К 5 Compact Promo;;0;9.732-334.0
100;Кarcher К 5 Compact мойка высокого давления;1;19990;1.630-720.0
101;Karcher K 5 Full Control мойка высокого давления;;0;1.324-500.0
102;Karcher K 5 Premium Full Control Plus мойка высокого давления;;0;1.324-630.0
103;Karcher K 5 мойка высокого давления;;22 990	;1.180-633.0
104;Кarcher К 7 Premium Full Control Plus мойка высокого давления;;0;1.317-130.0
105;Кarcher К 7 Compact мойка высокого давления;;0;1.447-002.0
106;Жидкий воск для кузова автомобиля Tutela Car Body Care;;0;
107;Karcher WD 2 пылесос;;0;1.629-760.0
108;Karcher SV 7 паропылесос;;0;1.439-410.0
109;Karcher WD 3 P Premium пылесос;;7990;1.629-891.0
110;Karcher WD 4 Premium пылесос;;0;1.348-150.0
111;Karcher WD 5 Premium пылесос;;0;1.348-230.0
112;Karcher WD 6 P Premium пылесос;;0;1.348-270.0
113;Karcher VC 5 *RU  пылесос;;0;1.349-105.0
114;Karcher VC 6 пылесос;;0;1.195-600.0
115;Karcher VC 6 Premium пылесос;;0;1.195-605.0
116;Karcher VC 3  пылесос;;0;1.198-125.0
117;Karcher DS 6 Premium Mediclean - пылесос с водяным фильтром;;0;1.195-241.0
118;Karcher SE 4001 моющий пылесос;;0;1.081-130.0
119;Karcher SE 4002 бытовой моющий пылесос;;0;1.081-140.0
120;Karcher SE 5.100 бытовой моющий пылесос;;0;1.081-200.0
126;Karcher WV50 Plus стеклоочиститель;;0;1.633-117.0
128;Karcher WV2 10 Years Edition стеклоочиститель;;0;1.633-425.0
129;Karcher КB 5 электровеник ;;0;1.258-000.0
130;Karcher SC 1 EasyFix пароочиститель;;0;1.516-332.0
131;Karcher SC 2 EasyFix *EU пароочиститель;;0;1.512-050.0
132;Karcher SC 4 EasyFix* EU пароочиститель;;0;1.512-450.0
133;Karcher SC 4 EasyFix Iron пароочиститель;;0;1.512-453.0
134;Karcher SC 5 EasyFix пароочиститель;;0;1.512-530.0
135;Karcher S 650 ручная подметальная машина;;0;1.766-304.0
136;Плоский складчатый фильтр к WD 4-WD 6 (MV4 - MV6);;0;2.863-005.0
