IE_XML_ID;IE_NAME;IP_PROP19;IP_PROP20;CV_PRICE_1;CV_CURRENCY_1
84;Фильтр для АВД;;140;140.00;RUB
87;Karcher K 2 мойка высокого давления;;0;6489.00;RUB
88;Karcher K 2 Basic мойка высокого давления ;;6 000;4989.00;RUB
94;Karcher К 3 мойка высокого давления;;0;7489.00;RUB
95;Салфетка из искусственной замши;;0;280.00;RUB
96;Karcher К 4 Full Control мойка высокого давления;;0;18489.00;RUB
97;Шланг высокого давления для прочистки канализации (10 метров) с пластиковым наконечником типа Керхер;;0;1150.00;RUB
98;Karcher К 4 Compact мойка высокого давления;;0;14489.00;RUB
99;Мойка высокого давления Karcher К 5 Compact Promo;;0;18289.00;RUB
100;Кarcher К 5 Compact мойка высокого давления;1;19990;17989.00;RUB
101;Karcher K 5 Full Control мойка высокого давления;;0;24489.00;RUB
102;Karcher K 5 Premium Full Control Plus мойка высокого давления;;0;29989.00;RUB
103;Karcher K 5 мойка высокого давления;;22 990	;22989.00;RUB
104;Кarcher К 7 Premium Full Control Plus мойка высокого давления;;0;41989.00;RUB
105;Кarcher К 7 Compact мойка высокого давления;;0;34989.00;RUB
106;Жидкий воск для кузова автомобиля Tutela Car Body Care;;0;470.00;RUB
107;Karcher WD 2 пылесос;;0;4989.00;RUB
108;Karcher SV 7 паропылесос;;0;52989.00;RUB
109;Karcher WD 3 P Premium пылесос;;7990;7989.00;RUB
110;Karcher WD 4 Premium пылесос;;0;9989.00;RUB
111;Karcher WD 5 Premium пылесос;;0;13989.00;RUB
112;Karcher WD 6 P Premium пылесос;;0;17989.00;RUB
113;Karcher VC 5 *RU  пылесос;;0;11989.00;RUB
114;Karcher VC 6 пылесос;;0;19989.00;RUB
115;Karcher VC 6 Premium пылесос;;0;0.00;RUB
116;Karcher VC 3  пылесос;;0;9489.00;RUB
117;Karcher DS 6 Premium Mediclean - пылесос с водяным фильтром;;0;22990.00;RUB
118;Karcher SE 4001 моющий пылесос;;0;16989.00;RUB
119;Karcher SE 4002 бытовой моющий пылесос;;0;20489.00;RUB
120;Karcher SE 5.100 бытовой моющий пылесос;;0;22489.00;RUB
126;Karcher WV50 Plus стеклоочиститель;;0;3989.00;RUB
128;Karcher WV2 10 Years Edition стеклоочиститель;;0;4989.00;RUB
129;Karcher КB 5 электровеник ;;0;5489.00;RUB
130;Karcher SC 1 EasyFix пароочиститель;;0;6489.00;RUB
131;Karcher SC 2 EasyFix *EU пароочиститель;;0;9290.00;RUB
132;Karcher SC 4 EasyFix* EU пароочиститель;;0;16989.00;RUB
133;Karcher SC 4 EasyFix Iron пароочиститель;;0;23989.00;RUB
134;Karcher SC 5 EasyFix пароочиститель;;0;28989.00;RUB
135;Karcher S 650 ручная подметальная машина;;0;9989.00;RUB
136;Плоский складчатый фильтр к WD 4-WD 6 (MV4 - MV6);;0;1210.00;RUB
137;Фильтр-мешки для пылесосов MV (4 шт.);;920;920.00;RUB
138; Насадка для мытья окон;;980;980.00;RUB
140;Удлинительный шланг для пылесоса WD MV (3,5 м);;0;2420.00;RUB
141;Бытовой комплект насадок для пылесосов WD, MV ;;0;2420.00;RUB
143; Грязевая фреза DB 145 для моек К4-К5;;0;2900.00;RUB
144;Грязевая фреза DB 180 для мойки К7;;0;3150.00;RUB
145;Струйная трубка Vario Power VP 180 Full для К 7;;0;2570.00;RUB
146;Пистолет G 180 Q для минимойки;;0;2420.00;RUB
147;Струйная трубка Керхер VP 160 S (360 °) ;;0;2170.00;RUB
148;Мощная швабра Karcher PS 40;;0;4230.00;RUB
149;Чистящий порошок RM 760 ;;0;1030.00;RUB
150;HD 5/15 С мойка высокого давления ;;0;49389.00;RUB
151;Фильтр защиты мотора DS 5500/5600 аналог 6.414-631.0;;0;600.00;RUB
152;Пеногаситель DEFOAM (0,25 л) ;;0;500.00;RUB
153;Средство для мытья пола COMFORT (1 л);;0;250.00;RUB
154;Средство для мытья пола COMFORT (5 л);;0;740.00;RUB
155;Чистящий гель для сантехники FUMIGEL (1 л);;0;200.00;RUB
156;Чистящий гель для сантехники FUMIGEL (5 л);;0;620.00;RUB
157;Очиститель ковровых покрытий Novatec (1 л);;0;320.00;RUB
158;ROCKprof SB-K2 (SB 6027) - мешок-пылесборник многоразовый ;;0;1250.00;RUB
159;Мешки-пылесборники ROCK prof K2 (16027);;0;500.00;RUB
160;Патронный фильтр ROCKprof HMF1;;0;800.00;RUB
